Well_ID	MD	TVDSS	ZONE	VSH	SW	RT	PHIT	NTG	K
W03	3338.5745	3252.1745	12	0.6544	1	6.0286	0.112	0	0.2306
W03	3339.5745	3253.1745	12	0.6544	1	6.0286	0.112	0	0.2306
W03	3340.5745	3254.1745	12	0.6544	1	6.0286	0.112	0	0.2306
W03	3341.5745	3255.1745	12	0.6544	1	6.0286	0.112	0	0.2306
W03	3342.5745	3256.1745	12	0.6544	1		0.112	0	0.2306
W03	3343.5745	3257.1745	12	0.6326	1	6.2339	0.1228	0	0.3107
W03	3344.5745	3258.1745	12	0.6326	1	6.2339	0.1228	0	0.3107
W03	3345.5745	3259.1745	12	0.6326	1	6.2339	0.1228	0	0.3107
W03	3346.5745	3260.1745	12	0.6326	1	6.2339	0.1228	0	0.3107
W03	3347.5745	3261.1745	12	0.6326	1	6.2339	0.1228	0	0.3107
W03	3348.5745	3262.1745	12	0.6017	1	6.5375	0.1153	0	0.2534
W03	3349.5745	3263.1745	12	0.6017		6.5375	0.1153	0	0.2534
W03	3350.5745	3264.1745	12	0.6017	1		0.1153	0	0.2534
W03	3351.5745	3265.1745	12	0.6017	1	6.5375	0.1153	0	0.2534
W03	3352.5745	3266.1745	12	0.6017	1	6.5375	0.1153	0	0.2534
W03	3353.5745	3267.1745	12	0.5973	1		0.1063	0	
W03	3354.5745	3268.1745	12	0.5973	1		0.1063	0	
W03	3355.5745	3269.1745	12	0.5973	1	6.582	0.1063	0	0.1946
W03	3356.5745	3270.1745	12	0.5973	1	6.582	0.1063	0	0.1946
W03	3357.5745	3271.1745	12	0.5973	1	6.582	0.1063	0	0.1946
W03	3358.5745	3272.1745	12	0.5932	1	6.6238		0	0.1306
W03	3359.5745	3273.1745	12	0.5932	1	6.6238	0.0939	0	0.1306
W03	3360.5745	3274.1745	12	0.5932	1	6.6238	0.0939	0	0.1306
W03	3361.5745	3275.1745	12		1	6.6238	0.0939	0	0.1306
W03	3362.5745	3276.1745	12	0.5932	1	6.6238	0.0939	0	0.1306
W03	3363.5745	3277.1745	12	0.6609	1		0.1014	0	0.1673
W03	3364.5745	3278.1745	12	0.6609	1		0.1014	0	0.1673
W03	3365.5745	3279.1745	12	0.6609	1	5.9682	0.1014	0	
W03	3366.5745	3280.1745	12	0.6609	1	5.9682	0.1014	0	0.1673
W03	3367.5745	3281.1745	12	0.6609	1	5.9682	0.1014	0	0.1673
W03	3368.5745	3282.1745	12	0.6558	1	6.0155	0.1107	0	0.2225
W03	3369.5745	3283.1745	12	0.6558	1	6.0155		0	0.2225
W03	3370.5745	3284.1745	12	0.6558	1	6.0155	0.1107	0	0.2225
W03	3371.5745	3285.1745	12	0.6558	1	6.0155	0.1107	0	0.2225
W03	3372.5745	3286.1745	12	0.6558	1	6.0155	0.1107	0	0.2225
W03	3373.5745	3287.1745	12	0.6448	1	6.1185	0.1011	0	0.1655
W03	3374.5745	3288.1745	12	0.6448	1	6.1185	0.1011	0	0.1655
W03	3375.5745	3289.1745	12	0.6448	1	6.1185	0.1011	0	0.1655
W03	3376.5745	3290.1745	12	0.6448	1	6.1185	0.1011	0	0.1655
W03	3377.5745	3291.1745	12	0.6448	1	6.1185	0.1011	0	0.1655
W03	3378.5745	3292.1745	12	0.6416	1	6.1482	0.0905	0	0.1161
W03	3379.5745	3293.1745	12	0.6416	1	6.1482	0.0905	0	0.1161
W03	3380.5745	3294.1745	12		1	6.1482	0.0905	0	0.1161
W03	3381.5745	3295.1745	12	0.6416	1	6.1482	0.0905	0	0.1161
W03	3382.5745	3296.1745	12	0.6416	1	6.1482	0.0905	0	0.1161
W03	3383.5745	3297.1745	12	0.6706	1	5.8802	0.0995	0	0.1576
W03	3384.5745	3298.1745	12	0.6706	1	5.8802	0.0995	0	0.1576
